,LONGITUD,LATITUD,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,TOX_FIS_SUP_15_UT,SEMAFORO,GRUPO,Coordenadas
816,-102.4286,21.91633,2.0,28.83,10.5,379.0,10.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-102.4286 21.91633)
817,-102.32441,17.9775,2.63,27.01,19.5,2400.0,424.0,68.3,1.0,1.0,1.0,Rojo,COSTERO,POINT (-102.32441 17.9775)
818,-102.3279,17.98442,2.0,29.68,10.0,24196.0,24196.0,68.3,1.0,1.0,1.0,Amarillo,COSTERO,POINT (-102.3279 17.98442)
819,-102.37526,17.98857,4.9,26.88,10.0,6867.0,384.0,76.5,1.0,1.0,1.0,Amarillo,COSTERO,POINT (-102.37526 17.98857)
820,-102.37853,17.98233,2.63,27.01,10.8,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.37853 17.98233)
821,-102.19769,17.97331,2.0,11.592,10.0,24196.0,17329.0,98.1,1.0,1.0,1.0,Amarillo,COSTERO,POINT (-102.19769 17.97331)
822,-102.20828,18.00848,2.0,18.22,10.0,6867.0,4611.0,63.5,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.20828 18.00848)
823,-102.19073,18.02432,2.0,10.0,10.0,24196.0,75.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.19073 18.02432)
824,-102.18533,18.02992,2.0,14.08,10.0,24196.0,14136.0,74.8,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.18533 18.02992)
825,-102.18127,18.04874,6.51,10.0,10.0,63.0,3.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-102.18127 18.04874)
826,-102.19029,18.05757,2.0,10.0,10.0,31.0,3.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-102.19029 18.05757)
827,-102.18153,18.0548,2.0,10.0,10.0,5794.0,31.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.18153 18.0548)
828,-102.17762,18.11738,2.0,10.5,10.0,4600.0,930.0,50.4,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.17762 18.11738)
829,-102.17062,18.13686,2.0,11.02,10.0,3076.0,10.0,121.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.17062 18.13686)
830,-102.16287,18.14748,2.0,10.0,10.0,161.0,10.0,108.1,1.0,1.0,1.0,Verde,LOTICO,POINT (-102.16287 18.14748)
831,-102.15872,18.1672,2.0,10.0,10.0,384.0,75.0,111.8,1.0,1.0,1.0,Verde,LOTICO,POINT (-102.15872 18.1672)
832,-102.1316,18.18982,2.24,10.0,10.0,885.0,63.0,108.3,1.0,1.0,1.0,Verde,LOTICO,POINT (-102.1316 18.18982)
833,-102.07014,18.19431,2.0,10.0,10.0,231.0,75.0,96.7,1.0,1.0,1.0,Verde,LOTICO,POINT (-102.07014 18.19431)
834,-102.0088,18.20429,2.0,15.14,10.0,24000.0,11000.0,55.1,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.0088 18.20429)
